,Inicio_Semana,Total de Chuvas(mm),Média diária de chuvas(mm),categoria,ponto_codigo,Categoria_Indexada
432,2018-12-23,23.8,3.3999998910086497,Imprópria,Farol da Barra - SSA FB 200,1.0
433,2017-06-18,31.2,4.4571429661342075,Imprópria,Farol da Barra - SSA FB 200,1.0
434,2019-06-30,11.4,1.6285713740757533,Própria,Farol da Barra - SSA FB 200,0.0
435,2020-10-25,25.8,3.6857141767229353,Imprópria,Farol da Barra - SSA FB 200,1.0
436,2017-05-28,26.4,3.7714285169328963,Imprópria,Farol da Barra - SSA FB 200,1.0
437,2016-12-25,2.6,0.3714285578046526,Própria,Farol da Barra - SSA FB 200,0.0
438,2018-04-22,54.2,7.742857251848493,Própria,Farol da Barra - SSA FB 200,0.0
439,2019-04-07,114.6,16.37142835344587,Imprópria,Farol da Barra - SSA FB 200,1.0
440,2019-03-10,9.6,1.3714286259242467,Imprópria,Farol da Barra - SSA FB 200,1.0
441,2018-08-19,10.4,1.4857142312186105,Própria,Farol da Barra - SSA FB 200,0.0
442,2020-11-22,11.4,1.6285713740757533,Imprópria,Farol da Barra - SSA FB 200,1.0
443,2017-08-06,15.6,2.2285714830671037,Imprópria,Farol da Barra - SSA FB 200,1.0
444,2017-12-24,0.0,0.0,Própria,Farol da Barra - SSA FB 200,0.0
445,2018-03-18,143.2,20.457142421177455,Imprópria,Farol da Barra - SSA FB 200,1.0
446,2018-04-29,26.4,3.7714285169328963,Própria,Farol da Barra - SSA FB 200,0.0
447,2019-12-15,15.4,2.1999999455043246,Própria,Farol da Barra - SSA FB 200,0.0
448,2017-11-05,1.2,0.17142857824053084,Imprópria,Farol da Barra - SSA FB 200,1.0
449,2019-01-13,10.2,1.4571428298950195,Imprópria,Farol da Barra - SSA FB 200,1.0
450,2020-03-22,91.0,13.0,Imprópria,Farol da Barra - SSA FB 200,1.0
451,2019-07-14,60.0,8.571428571428571,Imprópria,Farol da Barra - SSA FB 200,1.0
452,2017-01-08,2.4,0.3428571564810617,Própria,Farol da Barra - SSA FB 200,0.0
453,2020-01-05,0.0,0.0,Própria,Farol da Barra - SSA FB 200,0.0
454,2016-12-18,35.2,5.028571537562779,Própria,Farol da Barra - SSA FB 200,0.0
455,2020-03-08,45.2,6.4571429661342075,Própria,Farol da Barra - SSA FB 200,0.0
456,2018-07-01,25.0,3.5714285714285716,Própria,Farol da Barra - SSA FB 200,0.0
457,2018-08-26,23.0,3.2857142857142856,Imprópria,Farol da Barra - SSA FB 200,1.0
458,2017-04-23,2.2,0.31428572109767366,Própria,Farol da Barra - SSA FB 200,0.0
459,2019-11-24,184.0,26.285714285714285,Própria,Farol da Barra - SSA FB 200,0.0
460,2017-03-26,55.4,7.914285932268415,Própria,Farol da Barra - SSA FB 200,0.0
461,2017-05-07,53.6,7.657142639160156,Imprópria,Farol da Barra - SSA FB 200,1.0
462,2017-02-05,0.0,0.0,Própria,Farol da Barra - SSA FB 200,0.0
463,2017-10-01,3.6,0.5142857006617955,Imprópria,Farol da Barra - SSA FB 200,1.0
464,2019-11-17,3.0,0.42857142857142855,Própria,Farol da Barra - SSA FB 200,0.0
465,2018-06-17,17.6,2.5142857687813893,Própria,Farol da Barra - SSA FB 200,0.0
466,2018-12-16,1.4,0.1999999965940203,Imprópria,Farol da Barra - SSA FB 200,1.0
467,2019-02-03,0.4,0.05714285799435207,Imprópria,Farol da Barra - SSA FB 200,1.0
468,2017-10-22,4.6,0.6571428435189384,Imprópria,Farol da Barra - SSA FB 200,1.0
469,2018-07-15,8.2,1.1714285441807337,Própria,Farol da Barra - SSA FB 200,0.0
470,2018-02-18,0.4,0.05714285799435207,Imprópria,Farol da Barra - SSA FB 200,1.0
471,2017-06-11,9.2,1.3142856870378767,Imprópria,Farol da Barra - SSA FB 200,1.0
472,2019-08-04,22.4,3.1999999455043246,Imprópria,Farol da Barra - SSA FB 200,1.0
473,2019-10-20,0.8,0.11428571598870414,Própria,Farol da Barra - SSA FB 200,0.0
474,2018-05-13,23.8,3.3999998910086497,Própria,Farol da Barra - SSA FB 200,0.0
475,2017-05-14,107.4,15.342857360839844,Própria,Farol da Barra - SSA FB 200,0.0
476,2018-01-21,33.6,4.7999997820172995,Própria,Farol da Barra - SSA FB 200,0.0
477,2018-12-02,23.4,3.3428570883614674,Imprópria,Farol da Barra - SSA FB 200,1.0
478,2017-08-27,7.0,1.0,Própria,Farol da Barra - SSA FB 200,0.0
479,2018-10-28,2.8,0.3999999931880406,Imprópria,Farol da Barra - SSA FB 200,1.0
480,2020-01-12,1.4,0.1999999965940203,Própria,Farol da Barra - SSA FB 200,0.0
481,2019-05-26,41.6,5.942856924874442,Imprópria,Farol da Barra - SSA FB 200,1.0
482,2020-09-27,3.2,0.45714286395481657,Indisponível,Farol da Barra - SSA FB 200,2.0
483,2018-09-23,1.4,0.1999999965940203,Imprópria,Farol da Barra - SSA FB 200,1.0
484,2019-01-27,28.8,4.114285605294364,Própria,Farol da Barra - SSA FB 200,0.0
485,2020-01-19,67.0,9.571428571428571,Própria,Farol da Barra - SSA FB 200,0.0
486,2020-03-01,68.6,9.799999782017299,Própria,Farol da Barra - SSA FB 200,0.0
487,2020-03-15,9.8,1.4000000272478377,Própria,Farol da Barra - SSA FB 200,0.0
488,2020-11-08,0.6,0.08571428912026542,Imprópria,Farol da Barra - SSA FB 200,1.0
489,2017-07-23,44.6,6.371428353445871,Imprópria,Farol da Barra - SSA FB 200,1.0
490,2020-12-27,2.8,0.3999999931880406,Própria,Farol da Barra - SSA FB 200,0.0
491,2019-07-21,34.0,4.857142857142857,Própria,Farol da Barra - SSA FB 200,0.0
492,2019-04-14,26.8,3.828571319580078,Imprópria,Farol da Barra - SSA FB 200,1.0
493,2021-01-31,42.8,6.114285605294364,Própria,Farol da Barra - SSA FB 200,0.0
494,2018-07-22,8.6,1.2285714830671037,Própria,Farol da Barra - SSA FB 200,0.0
495,2019-08-18,16.8,2.3999998910086497,Imprópria,Farol da Barra - SSA FB 200,1.0
496,2018-01-28,0.0,0.0,Própria,Farol da Barra - SSA FB 200,0.0
497,2019-12-01,0.0,0.0,Própria,Farol da Barra - SSA FB 200,0.0
498,2017-07-09,93.4,13.342857360839844,Própria,Farol da Barra - SSA FB 200,0.0
499,2018-03-11,1.6,0.22857143197740828,Imprópria,Farol da Barra - SSA FB 200,1.0
500,2019-06-02,69.8,9.971429007393974,Imprópria,Farol da Barra - SSA FB 200,1.0
501,2021-01-10,138.8,19.82857186453683,Própria,Farol da Barra - SSA FB 200,0.0
502,2017-01-22,9.4,1.3428570883614677,Própria,Farol da Barra - SSA FB 200,0.0
503,2019-02-17,0.6,0.08571428912026542,Imprópria,Farol da Barra - SSA FB 200,1.0
504,2017-03-12,60.0,8.571428571428571,Própria,Farol da Barra - SSA FB 200,0.0
505,2018-05-06,65.6,9.37142835344587,Própria,Farol da Barra - SSA FB 200,0.0
506,2019-06-09,63.8,9.114285605294365,Imprópria,Farol da Barra - SSA FB 200,1.0
507,2020-02-16,29.2,4.171428680419922,Própria,Farol da Barra - SSA FB 200,0.0
508,2017-01-15,3.8,0.5428571360451835,Própria,Farol da Barra - SSA FB 200,0.0
509,2019-11-03,9.6,1.3714286259242467,Própria,Farol da Barra - SSA FB 200,0.0
510,2017-09-17,24.2,3.4571429661342075,Própria,Farol da Barra - SSA FB 200,0.0
511,2019-03-24,117.2,16.74285670689174,Imprópria,Farol da Barra - SSA FB 200,1.0
512,2019-10-27,31.0,4.428571428571429,Própria,Farol da Barra - SSA FB 200,0.0
513,2020-01-26,10.6,1.5142857687813895,Própria,Farol da Barra - SSA FB 200,0.0
514,2019-06-16,44.4,6.342857360839844,Imprópria,Farol da Barra - SSA FB 200,1.0
515,2019-08-11,37.4,5.342857360839844,Imprópria,Farol da Barra - SSA FB 200,1.0
516,2019-11-10,6.2,0.8857142584664481,Própria,Farol da Barra - SSA FB 200,0.0
517,2020-12-06,0.8,0.11428571598870414,Própria,Farol da Barra - SSA FB 200,0.0
518,2017-07-02,42.4,6.057143075125558,Imprópria,Farol da Barra - SSA FB 200,1.0
519,2018-09-02,64.2,9.17142813546317,Imprópria,Farol da Barra - SSA FB 200,1.0
520,2017-07-16,31.8,4.5428570338657925,Imprópria,Farol da Barra - SSA FB 200,1.0
521,2019-10-06,16.2,2.3142858232770647,Imprópria,Farol da Barra - SSA FB 200,1.0
522,2020-10-11,0.0,0.0,Indisponível,Farol da Barra - SSA FB 200,2.0
523,2017-02-19,53.8,7.685714176722935,Imprópria,Farol da Barra - SSA FB 200,1.0
524,2019-09-15,19.0,2.7142857142857144,Imprópria,Farol da Barra - SSA FB 200,1.0
525,2017-04-16,44.6,6.371428353445871,Imprópria,Farol da Barra - SSA FB 200,1.0
526,2017-10-15,61.2,8.742857251848493,Própria,Farol da Barra - SSA FB 200,0.0
527,2018-11-11,0.8,0.11428571598870414,Própria,Farol da Barra - SSA FB 200,0.0
